lc	retry	1	29.1	PASS	4 7477 266
pi	retry	1	56.6	PASS	6 2069 1061
pi2	retry	1	61.1	PASS	5 1000 1100
lc	retry	2	21.4	PASS	4 1520 245
pi	retry	2	27.0	PASS	4 681 359
pi2	retry	2	84.7	PASS	4 850 887
lc	retry	3	32.4	PASS	4 1574 253
pi	retry	3	64.9	PASS	4 681 686
pi2	retry	3	69.7	PASS	4 990 757
lc	parser	1	43.2	PASS	4 1799 402
pi	parser	1	59.3	PASS	4 984 672
pi2	parser	1	44.9	PASS	4 1087 497
lc	parser	2	37.5	PASS	4 1799 345
pi	parser	2	48.3	PASS	4 841 554
pi2	parser	2	37.6	PASS	4 944 423
lc	parser	3	36.8	PASS	4 1779 344
pi	parser	3	106.4	PASS	5 995 1300
pi2	parser	3	52.5	PASS	4 1087 618
